version,BN,Regularizer,cluster key,cluster set,cluster dhn,cluster nodes,cluster size,cluster type,cut ratio,is inverted flux,ML input features,ML output features,mae,best_loss
8,0,0,10-c,2,1,"[19, 20, 69, 70]",4,1-2,0.75,0,5,2,0.0823356448719356,0.006316760554909706
10,0,1,10-c,2,1,"[19, 20, 69, 70]",4,1-2,0.75,0,5,2,0.14382995346430855,0.016463547945022583
8,0,0,11-c,2,1,"[36, 38, 44, 62]",4,1-1,0.5,0,5,1,0.025443957305489453,0.002985202707350254
10,0,1,11-c,2,1,"[36, 38, 44, 62]",4,1-1,0.5,0,5,1,0.04911776001616451,0.010052269324660301
8,0,0,13-c,2,1,"[9, 11, 16]",3,1-2,1.0,1,4,2,0.7006833834640765,0.027564844116568565
10,0,1,13-c,2,1,"[9, 11, 16]",3,1-2,1.0,1,4,2,0.8444752503586868,0.03638354316353798
10,0,1,14-c,2,1,"[33, 67, 68]",3,1-1,0.6666666666666666,0,4,1,0.09651797203889782,0.01610936038196087
8,0,0,15-c,2,1,"[6, 8, 29, 34, 50, 53, 54, 55]",8,1-5,0.75,1,9,5,0.07328941767430057,0.005244676489382982
10,0,1,15-c,2,1,"[6, 8, 29, 34, 50, 53, 54, 55]",8,1-5,0.75,1,9,5,0.146253326964441,0.014420591294765472
10,0,1,16-c,2,1,"[31, 33, 39, 40, 47, 48]",6,1-6,1.1666666666666667,0,7,6,0.7429353877436442,0.07073564827442169
8,0,0,17-c,2,1,"[6, 7, 8, 22, 50, 56]",6,2-4,1.0,0,8,4,0.08447528401983764,0.007627546787261963
10,0,1,17-c,2,1,"[6, 7, 8, 22, 50, 56]",6,2-4,1.0,0,8,4,0.131526900025477,0.01761554926633835
10,0,1,18-c,2,1,"[7, 11, 12, 16, 17, 19, 20, 22, 30, 60, 69]",11,3-4,0.6363636363636364,1,14,4,1.7986045235744423,0.10005614906549454
10,0,1,19-c,2,1,"[2, 3, 5, 27, 41, 42]",6,2-1,0.5,1,8,1,0.19963454269226436,0.021566737443208694
8,0,0,20-c,2,1,"[17, 18, 31, 36, 37, 40]",6,1-5,1.0,0,7,5,0.056817147765359004,0.004951404873281717
10,0,1,20-c,2,1,"[17, 18, 31, 36, 37, 40]",6,1-5,1.0,0,7,5,0.10727711492347855,0.014244385994970798
8,0,0,21-c,2,1,"[6, 29, 34, 53, 54, 55]",6,1-3,0.6666666666666666,1,7,3,0.06328879915840901,0.004202575888484716
10,0,1,21-c,2,1,"[6, 29, 34, 53, 54, 55]",6,1-3,0.6666666666666666,1,7,3,0.17078182067962763,0.014125826768577099
8,0,0,22-c,2,1,"[6, 7, 11, 12, 16, 19, 20, 22, 30, 60, 69, 70]",12,3-4,0.5833333333333334,0,15,4,0.13038751618361039,0.011544859036803246
10,0,1,22-c,2,1,"[6, 7, 11, 12, 16, 19, 20, 22, 30, 60, 69, 70]",12,3-4,0.5833333333333334,0,15,4,0.24371984330642787,0.02409214898943901
10,0,1,24-c,2,1,"[13, 14, 27, 28, 29, 41, 42, 54]",8,2-5,0.875,1,10,5,0.14696521413267222,0.016515249386429787
8,0,0,25-c,2,1,"[6, 17, 18, 22, 34, 36]",6,2-3,0.8333333333333334,0,8,3,0.05492510350834705,0.005999982822686434
10,0,1,25-c,2,1,"[6, 17, 18, 22, 34, 36]",6,2-3,0.8333333333333334,0,8,3,0.09622210997140258,0.014983602799475193
10,0,1,26-c,2,1,"[14, 24, 25, 43, 52, 65]",6,1-2,0.5,0,7,2,0.11926683232426596,0.014989467337727547
8,0,0,27-c,2,1,"[6, 17, 18, 22, 34, 36, 38]",7,2-3,0.7142857142857143,0,9,3,0.07068053120071723,0.006849596276879311
10,0,1,27-c,2,1,"[6, 17, 18, 22, 34, 36, 38]",7,2-3,0.7142857142857143,0,9,3,0.12167420939328709,0.016467975452542305
8,0,0,28-c,2,1,"[17, 18, 22, 36, 38, 44, 62]",7,2-1,0.42857142857142855,1,9,1,0.1214357689735938,0.011392797343432903
10,0,1,28-c,2,1,"[17, 18, 22, 36, 38, 44, 62]",7,2-1,0.42857142857142855,1,9,1,0.16450555940135447,0.019543901085853577
8,0,0,29-c,2,1,"[9, 11, 12, 16, 19, 21, 30, 60]",8,2-2,0.5,0,10,2,0.17526820283969133,0.017570320516824722
10,0,1,29-c,2,1,"[9, 11, 12, 16, 19, 21, 30, 60]",8,2-2,0.5,0,10,2,3.4583190912387822,0.17016340792179108
8,0,0,1-c,1,2,"[12, 13, 17, 18, 19]",5,1-0,0.2,0,6,0,0.059869144979178196,0.01408783346414566
8,0,0,2-c,1,2,"[1, 5, 6, 7, 14, 15, 20]",7,1-0,0.14285714285714285,0,8,0,0.03906262883269047,0.008264534175395966
8,0,0,3-c,1,2,"[3, 4]",2,1-1,1.0,0,3,1,0.05933144411877537,0.008133281953632832
8,0,0,4-c,1,2,"[3, 4, 12, 13]",4,1-1,0.5,0,5,1,0.12361527087093217,0.011587952263653278
8,0,0,6-c,1,2,"[5, 7, 14, 15]",4,1-2,0.75,0,5,2,0.18895918992891994,0.013079443015158176
8,0,0,7-c,1,2,"[8, 9, 10]",3,2-1,1.0,0,5,1,0.4518736890801563,0.027669377624988556
8,0,0,8-c,1,2,"[5, 6, 20]",3,1-0,0.3333333333333333,0,4,0,0.023590746700510073,0.005958589259535074
8,0,0,9-c,1,2,"[3, 4, 12, 13, 18]",5,1-2,0.6,0,6,2,0.3023066034119429,0.01877967081964016
8,0,0,11-c,1,2,"[1, 5, 6, 7, 15]",5,1-2,0.6,0,6,2,0.10646877793409859,0.008799735456705093
8,0,0,12-c,1,2,"[5, 6, 7, 20]",4,1-2,0.75,0,5,2,0.07635820644532113,0.006947863847017288
